"TIME","IMSI","LAT","LON","BAT","TEMP","HUMI","XG","XA","XD","XV","YG","YA","YD","YV","ZG","ZA","ZD","ZV","TYPE","PAYLOAD","DATA"
"2022-03-09 14:10:44",440103255528065,33.958386,130.943632,3,14.6,58.2,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODM4NiwibG9uIjoxMzAuOTQzNjMyLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNC42LCJodW1pIjo1OC4yLCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958386,""lon"":130.943632,""bat"":3,""rs"":1,""temp"":14.6,""humi"":58.2,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 14:25:19",440103255528065,33.958365,130.943888,3,14.6,54.1,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODM2NSwibG9uIjoxMzAuOTQzODg4LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC42LCJodW1pIjo1NC4xLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958365,""lon"":130.943888,""bat"":3,""rs"":4,""temp"":14.6,""humi"":54.1,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 14:40:19",440103255528065,33.958558,130.943843,3,14.6,54.5,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODU1OCwibG9uIjoxMzAuOTQzODQzLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC42LCJodW1pIjo1NC41LCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958558,""lon"":130.943843,""bat"":3,""rs"":4,""temp"":14.6,""humi"":54.5,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 14:55:19",440103255528065,33.958816,130.943853,3,14.5,57.6,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODgxNiwibG9uIjoxMzAuOTQzODUzLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNC41LCJodW1pIjo1Ny42LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958816,""lon"":130.943853,""bat"":3,""rs"":1,""temp"":14.5,""humi"":57.6,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 15:10:23",440103255528065,33.958428,130.943591,3,14.6,57.7,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODQyOCwibG9uIjoxMzAuOTQzNTkxLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNC42LCJodW1pIjo1Ny43LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958428,""lon"":130.943591,""bat"":3,""rs"":1,""temp"":14.6,""humi"":57.7,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 15:25:18",440103255528065,33.95844,130.944035,3,14.4,52.7,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODQ0MCwibG9uIjoxMzAuOTQ0MDM1LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC40LCJodW1pIjo1Mi43LCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958440,""lon"":130.944035,""bat"":3,""rs"":4,""temp"":14.4,""humi"":52.7,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 15:40:34",440103255528065,33.958374,130.943519,3,14.4,54.4,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODM3NCwibG9uIjoxMzAuOTQzNTE5LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC40LCJodW1pIjo1NC40LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958374,""lon"":130.943519,""bat"":3,""rs"":4,""temp"":14.4,""humi"":54.4,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 15:55:34",440103255528065,33.958312,130.94369,3,14.6,54.7,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODMxMiwibG9uIjoxMzAuOTQzNjkwLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNC42LCJodW1pIjo1NC43LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958312,""lon"":130.943690,""bat"":3,""rs"":1,""temp"":14.6,""humi"":54.7,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 16:10:49",440103255528065,33.958261,130.943629,3,14.4,53.2,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODI2MSwibG9uIjoxMzAuOTQzNjI5LCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNC40LCJodW1pIjo1My4yLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958261,""lon"":130.943629,""bat"":3,""rs"":1,""temp"":14.4,""humi"":53.2,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 16:25:19",440103255528065,33.95834,130.943828,3,14.5,54.3,64,627.6256,159140.73593249,9.9940382165605,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODM0MCwibG9uIjoxMzAuOTQzODI4LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC41LCJodW1pIjo1NC4zLCJ4Ijo2NC4wLCJ5IjowLjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958340,""lon"":130.943828,""bat"":3,""rs"":4,""temp"":14.5,""humi"":54.3,""x"":64.0,""y"":0.0,""z"":-960.0,""type"":0}"
